Naam,Afkorting,Straat,Postcode,Plaats,Bezoekadres straat,Bezoekadres postcode,Bezoekadres plaats,Telefoon,E-mail,Internetsite,Grondslag,Link wettenbank,Instellingsmotief,Relatie met ministerie,Taken & bevoegdheden,Kaderwet van toepassing,Afwijkende bepalingen artikel,Afwijkende bepalingen,Jaar van oprichting,Aantekening,Personeelsomvang FTE,Personeelsomvang toelichting,Geldende CAO,Aangesloten bij pensioenfonds,Datum laatste evaluatieverslag,Kamerstuknummer laatste evaluatieverslag,Deeltijd,Rechtsvorm,Type ZBO,Mutatiedatum
Stichting Nederlandse Algemene Keuringsdienst voor Zaaizaad en Pootgoed van Landbouwgewassen,NAK,Postbus 1115,8300 BC,Emmeloord,Randweg 14,8304 AS,Emmeloord,0527 635400,nak@nak.nl,http://www.nak.nl/,"Zaaizaad- en plantgoedwet 2005, artikel 19 (Staatsblad 2005, nummer 184);Plantenziektenwet via mandaat.",[Zaaizaad- en Plantgoedwet 2005](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Zaaizaad-%20en%20plantgoedwet%202005/article=19),,Ministerie van Economische Zaken (EZ),"* Bevorderen, door middel van keuringen, dat betrouwbaar teeltmateriaal van landbouwgewassen in het verkeer gebracht, verder verhandeld en uitgevoerd wordt;
 
 * verstrekken van certificaten ten bewijze van goedkeuring;
 
 * geven van voorschriften als bedoeld in artikel 91, eerste lid, van de Zaaizaad- en Plantgoedwet;
 
 * toezicht houden op de naleving van de voorschriften;
 
 * uitvoeren van fytosanitaire export- en importinspecties en het waarmerken van het fytosanitaire certificaat.",Ja,,,1932,,202,(2014-12-31),Eigen CAO,Bedrijfspensioenfonds voor de Landbouw,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,17/08/16
Stichting Nederlandse Algemene Kwaliteitsdienst voor de Tuinbouw,Naktuinbouw,Postbus 40,2370 AA,Roelofarendsveen,Sotaweg 22,2371 GD,Roelofarendsveen,071 3326262,info@naktuinbouw.nl,http://www.naktuinbouw.nl/,Zaaizaad- en plantgoedwet 2005 artikel 19,[Zaaizaad- en Plantgoedwet 2005](http://wetten.overheid.nl/BWBR0018040),,Ministerie van Economische Zaken (EZ),"* Bevordert en bewaakt de kwaliteit van producten, processen en ketens in de tuinbouw gericht op teeltmateriaal, zowel nationaal als internationaal. 
 
 * Het uitvoeren van fytosanitaire export- en importinspecties en het waarmerken van het fytosanitaire certificaat.",Ja,,,1966,Per 1 januari 2000 ontstaan uit fusie van Stichting Nederlandse Algemene Keuringsdienst voor Bloemisterij en Boomkwekerijgewassen met de Stichting Nederlandse Algemene Keuringsdienst voor Groente- en Bloemzaden.,"231,77",(2014-12-31),Eigen Regeling,Pensioen bij Nationale Nederlanden,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stichting Nederlands Fonds voor de Film,Nederlands Filmfonds,,,,Pijnackerstraat 5,1072 JS,Amsterdam,020 5707676,info@filmfonds.nl,http://www.filmfonds.nl/,"Wet op het specifiek cultuurbeleid, 1993",[Wet op het specifiek cultuurbeleid](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20specifiek%20cultuurbeleid),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","Het stimuleren van de filmproductie in Nederland, met nadruk op kwaliteit en diversiteit, en het bevorderen van een goed klimaat voor de Nederlandse filmcultuur. Om dit te bereiken geeft het Fonds filmmakers financiële ondersteuning bij het ontwikkelen, realiseren en distribueren van films. Het Fonds is betrokken bij de totstandkoming van lange speelfilms, documentaire films, experimentele films, korte films en animatiefilms. Daarnaast heeft het Fonds geld voor bijzondere activiteiten op het gebied van film.",Ja,22,"Zover het een besluit betreft die het bestuur van een fonds neemt ter uitvoering van de in art. 9, eerste lid, van de wet op het specifiek cultuurbeleid bedoelde taak.",2004,,30,-2014,Eigen cao afgeleid van Bezoldigingsbesluit Burgerlijke Rijksambtenaren (BBRA),Particuliere verzekeraar: Delta Lloyd,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stichting Nederlands Letterenfonds,,Postbus 16588,1001 RB,Amsterdam,Nieuwe Prinsengracht 89,,Amsterdam,020 5207300,post@letterenfonds.nl,http://www.letterenfonds.nl/,"Wet op het specifiek cultuurbeleid, 1993",[Wet op het specifiek cultuurbeleid](http://wetten.overheid.nl/BWBR0005904/),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* Het fonds bevordert de kwaliteit en de diversiteit van de Nederlands- en Friestalige letteren, en van literatuur in Nederlandse of Friese vertaling. 
 
 * Verder bevordert het fonds de productie van kwalitatief hoogstaande, oorspronkelijk Nederlands- en Friestalige literaire werken; 
 
 * het bevordert de vertaling van deze werken in andere talen en 
 
 * het bevordert de vertaling in het Nederlands en het Fries van literaire werken uit moeilijk toegankelijke talen.",Ja,22,"Zover het een besluit betreft dat het bestuur van een fonds neemt ter uitvoering van de in art. 9, eerste lid, van de wet op het specifiek cultuurbeleid bedoelde taak.",2010,Het fonds is in 2010 ontstaan uit een fusie van de Stichting Fonds voor de Letteren en de Stichting Nederlands Literair Productie- en Vertalingenfonds.,"28,7",-2014,CAO Rijk,ABP,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stichting Nidos,,Postbus 13021,3507 LA,Utrecht,Maliebaan 99,3581 CH,Utrecht,030 2391200,directie@nidos.nl,http://www.nidos.nl/,"* Burgerlijk Wetboek, artikelen 1:254, tweede lid, 
 
 * en 1:302, tweede lid, Burgerlijk Wetboek; 
 
 * Regeling van de minister van Justitie van 12 januari 2005, houdende aanvaarding van de rechtspersoon als bedoeld in de artikelen 254, tweede lid, en 302, tweede lid, van Boek 1 van het Burgerlijk Wetboek (Staatscourant 2005, 11)","[Burgerlijk Wetboek, art. 254](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=burgerlijk%20wetboek%20boek%201/article=254)",,Ministerie van Veiligheid en Justitie (VenJ),Uitvoering van de voogdij voor alleenstaande minderjarige asielzoekers en gezinsvoogdij voor minderjarige kinderen die in een opvangcentrum van het Centraal Orgaan opvang asielzoekers (COA) verblijven.,Nee,,,2005,,,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stichting Participatiefonds voor het Onderwijs,Pf,,,,Blaak 22,3011 TA,Rotterdam,010 2177640,secretariaat@vfpf.org,https://www.participatiefonds.nl/,Wet op het primair onderwijs Art 183 Besluit Vervangingsfonds en Participatiefonds van 27 mei 2011,"</br>[Wet op het primair onderwijs](http://wetten.overheid.nl/BWBR0003420/)
 </br>[Besluit Vervangingsfonds en Participatiefonds](http://wetten.overheid.nl/BWBR0030106/)",,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)",Zorgdragen voor de vergoeding van de kosten die verband houden met werkloosheidsuitkeringen voor het onderwijspersoneel in het primair en voortgezet onderwijs.,Ja,,,2004,,20,(2014) Gedeeld met Stichting Vervangingsfonds en Bedrijfsgezondheidszorg voor het Onderwijs (VF),CAO Rijk,ABP,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,01/09/16
Stichting Regionale Publieke Omroep,RPO,Postbus 913,1200 AX,Hilversum,Mart Smeetslaan 2A,1217 ZE,Hilversum,035 - 621 08 75,contact@stichtingrpo.nl,https://www.stichtingrpo.nl/,Mediawet 2008 artikel 2.60a,[Mediawet 2008 artikel 2.60a](http://wetten.overheid.nl/jci1.3:c:BWBR0025028&hoofdstuk=2&titeldeel=2.3&paragraaf=2.3.1&artikel=2.60a),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","De RPO wordt belast met de volgende taken:
 * het bevorderen van samenwerking en coördinatie met het oog op de uitvoering van de publieke mediaopdracht op regionaal niveau;
 * het behartigen van zaken die van gemeenschappelijk belang zijn voor de regionale publieke mediadienst en de regionale publieke media-instellingen;
 * het sluiten van collectieve arbeidsovereenkomsten en het vaststellen van normen voor de honorering van freelancers, mede in naam van de regionale publieke media-instellingen;
 * het bevorderen van een doelmatige inzet van de gelden die bestemd zijn voor de verzorging en verspreiding van het media-aanbod en het bevorderen van geïntegreerde financiële verslaglegging en verantwoording;
 * het inrichten, in stand houden, beheren en exploiteren en regelen van het gebruik van organen, diensten en faciliteiten, waaronder studio s en distributie-infrastructuren, die nodig zijn voor een goede uitvoering van de publieke mediaopdracht op regionaal niveau;
 * andere taken waarmee zij bij de wet wordt belast.",Nee,,,2016,,,,,,,,nee,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,16/08/16
Stichting Skal,,Postbus 384,8000 AJ,Zwolle,Dr. Klinkertweg 28a,8025 BS,Zwolle,038 4268181,info@skal.nl,http://www.skal.nl/,Landbouwkwaliteitswet,[Landbouwkwaliteitswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Landbouwkwaliteitswet),,Ministerie van Economische Zaken (EZ),Stichting Skal houdt toezicht op de biologische productie in Nederland.,Ja,,,1993,,31,(2015-01-01),Eigen CAO,Pensioen Avero,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stichting Stimuleringsfonds Creatieve Industrie,,Postbus 29066,3001 GB,Rotterdam,Weena 723,3013 AM,Rotterdam,010 4361600,info@stimuleringsfonds.nl,http://www.stimuleringsfonds.nl/nl/,"Wet op het specifiek cultuurbeleid, 1993",[Wet op het specifiek cultuurbeleid](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20specifiek%20cultuurbeleid),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","Het fonds ondersteunt ontwerpers en makers met (inter)nationale projecten, culturele instellingen met eenjarige en meerjarige programma's en talenten in de creatieve industrie. Kerntaak is het stimuleren van cultuur. Een belangrijk thema is het verbeteren van de keten tussen ontwerpers/makers en opdrachtgevers/producenten. Met programma's, evenementen, publicaties en kennisbundeling legt het fonds bovendien zelf actief verbindingen tussen cultuur, ondernemerschap en maatschappelijk engagement.",Ja,22,,2013,,23,-2014,Particulier,Zwitserleven,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stichting Vaarbewijs- en marifoonexamens,Vamex,Postbus 876,2700 AW,Zoetermeer,Maria Montessorilaan 21,2719 DB,Zoetermeer,088 4564567,info@vamex.nl,http://www.vamex.nl,"Binnenvaartwet, artikel 29, lid 1Aanwijzingsbesluit exameninstellingen krachtens de Binnenvaartwet","</br>[Binnenvaartwet](http://wetten.overheid.nl/BWBR0023009/)
 </br>[Aanwijzingsbesluit exameninstellingen krachtens de Binnenvaartwet](https://zoek.officielebekendmakingen.nl/stcrt-2009-10561.html)",,Ministerie van Infrastructuur en Milieu (IenM),"* De Stichting Vamex is aangewezen als exameninstelling voor de examens Klein Vaarbewijs en het examen CWO Groot Motorschip. Vamex geeft tevens het Klein Vaarbewijs en het Groot Pleziervaartbewijs af. 
 
 * Daarnaast verzorgt het de organisatie van examens voor het Basiscertificaat Marifonie (voor het ministerie van EZ). 
 
 * Vamex geeft ook veel vaarbewijzen af die door burgers vrijwillig (zonder verplichting door wet- en regelgeving) worden gehaald.",Ja,,,2009,,"6,4",-2014,Geen CAO,Geen pensioenfonds,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,01/09/16
Stichting Vakopleiding Automobiel- en Motorrijwielbedrijf,IBKI,Postbus 2360,3430 DV,Nieuwegein,Structuurbaan 2,3439 MB,Nieuwegein,030 6087766,info@ibki.nl,http://www.ibki.nl/,Regeling rijonderricht motorrijtuigen 2009;Wet rijonderricht motorrijtuigen 1993;Wegenverkeerswet 1994,"</br>[Regeling rijonderricht motorrijtuigen 2009](http://wetten.overheid.nl/BWBR0025890)
 </br>[Wet rijonderricht motorrijtuigen 1993](http://wetten.overheid.nl/BWBR0006073)
 </br>[Wegenverkeerswet 1994](http://wetten.overheid.nl/BWBR0006622)",,Ministerie van Infrastructuur en Milieu (IenM),"* Afnemen examen Rij-instructeur;
 
 * Houden van register certificaten rij-instructeur;
 
 * Afnemen examens keurmeester APK;
 
 * Afnemen examens LPG-technicus.",Ja,,,1995,,,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,01/09/16
Stichting Vervangingsfonds en Bedrijfsgezondheidszorg voor het Onderwijs,VF,,,,Blaak 22,3011 TA,Rotterdam,010 2177640,secretariaat@vfpf.org,http://www.vervangingsfonds.nl/,Wet op het primair onderwijs Art 183 Besluit Vervangingsfonds en Participatiefonds van 27 mei 2011,"</br>[Wet op het primair onderwijs](http://wetten.overheid.nl/BWBR0003420/)
 </br>[Besluit Vervangingsfonds en Participatiefonds](http://wetten.overheid.nl/BWBR0030106/)",,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)",Zorgdragen voor de vergoeding van de kosten die verband houden met vervanging van personeel van de onderwijsinstellingen in het primair en voortgezet onderwijs.,Ja,,,2004,,20,(2014) Gedeeld met Stichting Participatiefonds voor het Onderwijs,CAO PO,ABP,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,01/09/16
Stichting Visitatie Woningcorporaties Nederland,SVWN,Postbus 4077,3502 HB,Utrecht,Weg der Verenigde Naties 1,3752 KT,Utrecht,030 7210780,info@visitaties.nl,http://www.visitaties.nl,"Art 53 a Woningwet (zie ook Memorie van Toelichting onder artikelsgewijze toelichting (4), waarin de Stichting Visitaties Woningcorporaties wordt genoemd als door de Minister aangewezen)","[Woningwet, artikel 53a eerste lid](http://wetten.overheid.nl/BWBR0005181/HoofdstukIV/Afdeling3/6/Artikel53a/)",,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"* De onafhankelijke instantie heeft tot taak ervoor te zorgen dat er eens per vier jaar bij corporaties een visitatie kan worden uitgevoerd, specifiek door het aanwijzen van 'deskundige instanties'. SVWN doet dat door het accrediteren van bureaus die visitaties mogen uitvoeren. (zie ook art. 2 Statuten).",Ja,,,2015,,"0,5",(2015-07-01),"CAO Woondiensten (voor medewerkers, niet voor directie)",Stichting Pensioenfonds voor de Woningcorporaties (SPW),,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Stimuleringsfonds Nederlandse Culturele Mediaproducties,Mediafonds,,,,Herengracht 609,1017 CE,Amsterdam,020 6233901,info@mediafonds.nl,http://www.mediafonds.nl/,Mediawet 2008 artikel 2.125,[Mediawet 2008](http://wetten.overheid.nl/BWBR0025028/Hoofdstuk2/Titel25/Afdeling255),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","Verstrekken van financiële bijdragen ten behoeve van de ontwikkeling en vervaardiging van programmaonderdelen die van bijzondere Nederlandse culturele aard zijn en die worden verzorgd door omroepverenigingen, de Nederlandse Programma Stichting, de educatieve omroepinstelling, dan wel kerkgenootschappen of genootschappen op geestelijke grondslag die zendtijd hebben verkregen voor landelijke omroep, de instellingen die zendtijd hebben verkregen voor regionale omroep, alsmede de Wereldomroep, dan wel door twee of meer van hen gezamenlijk.",Ja,22,,1998,,"13,2",-2014,CAO Onderzoeksinstellingen,PFZW,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Stimuleringsfonds voor de Journalistiek,SVDJ,,,,Prinsessegracht 19-C,2514 AP,Den Haag,070 3617111,info@svdj.nl,http://www.persinnovatie.nl/,Mediawet 2008 artikel 8.1,[Mediawet 2008](http://wetten.overheid.nl/BWBR0025028/Hoofdstuk8/Titel81/),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* Handhaven en bevorderen van de pluriformiteit van de pers, voor zover die van belang is voor de informatie en opinievorming;
 
 * verlenen van financiële steun aan de pers;
 
 * verrichten dan wel doen verrichten van onderzoek met betrekking tot het functioneren van de pers.",Ja,22,"Uitzondering van Artikel 22 betreft besluiten die betrekking hebben op de taakuitoefening (Tweede Kamer 2007-2008, 25268, nr. 50, mededeling minister van OCW).",1988,,"7,2",-2014,CAO Rijk,ABP,06/12/11,TK 32827 nr. 28,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Uitvoerders Wlz,,,,,,,,,,,"Wet langdurige zorg, Hoofdstuk 4, Paragraaf 2, artikel 4.2.1. lid 1",[Wet langdurige zorg](http://wetten.overheid.nl/BWBR0035917/),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","Doelmatige en kwalitatief verantwoorde uitvoering van de Wlz, in het bijzonder de uitvoering van de zorgplicht voor de eigen verzekerden.",Nee,,,2015,"Dit is een cluster van zbo s waarop de kaderwet zelfstandige bestuursorganen niet van toepassing is. De onderliggende onderdelen van dit cluster worden niet in dit register benoemd.
 
 Het betreft zorgverzekeraars die door de NZa zijn toegelaten als Wlz-uitvoerder.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,24/09/15
Uitvoeringsinstituut Werknemersverzekeringen,UWV,Postbus 58285,1040 HG,Amsterdam,La Guardiaweg 94-114,1043 DK,Amsterdam,0900 9294,Via de website kunt u contact opnemen,http://www.uwv.nl/,"Wet structuur uitvoeringsorganisatie werk en inkomen (Wet SUWI), artikel 2",[Wet structuur uitvoeringsorganisatie werk en inkomen (SUWI)](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20structuur%20uitvoeringsorganisatie%20werk%20en%20inkomen/article=2),,Ministerie van Sociale Zaken en Werkgelegenheid (SZW),"* Uitvoeren van de Wet werk en inkomen naar arbeidsvermogen (WIA), de wettelijke arbeidsongeschiktheidsverzekeringen (WAO), de wettelijke ziekengeldverzekering (ZW), de wettelijke werkloosheidsverzekering (WW), de Tijdelijke wet beperking inkomensgevolgen arbeidsongeschiktheidscriteria, de Wet arbeidsongeschiktheidsvoorziening jonggehandicapten, de Toeslagenwet en de Wet op de (re)integratie arbeidsgehandicapten; 
 * bevorderen dat personen die een uitkering ontvangen op grond van deze wetten worden ingeschakeld in het arbeidsproces;
 * beheren en administreren van de in artikel 1 van de Wet SUWI bedoelde fondsen; 
 * zorgdragen voor gevraagde en ongevraagde verstrekking van deugdelijke informatie aan werkgevers, werknemers, uitkeringsgerechtigden, verzekerden, werkzoekenden, regionale platforms en andere belanghebbenden in verband met de uitvoering van de bovengenoemde verzekeringen en wetten en in verband met de inschakeling van uitkeringsgerechtigden in het arbeidsproces; 
 * op verzoek van een werkgever of een werknemer een onderzoek instellen naar en een oordeel geven over het bestaan van ongeschiktheid tot werken, indien de werknemer een geschil heeft met zijn werkgever over recht op loon of bezoldiging als bedoeld in artikel XV, van de Wet terugdringing ziekteverzuim of een onderzoek instellen naar en een oordeel geven over de nakoming van de werknemer van de verplichtingen, bedoeld in artikel 660a van het Burgerlijk Wetboek dan wel overeenkomstige bepalingen; 
 * op verzoek van een werkgever of een werknemer dan wel een eigenrisicodrager als bedoeld in artikel 1 van de Ziektewet of een persoon als bedoeld in artikel 63 van die wet een onderzoek instellen naar en een oordeel geven over de aanwezigheid van passende arbeid, die de zieke werknemer voor de werkgever, respectievelijk de persoon die recht heeft op ziekengeld voor de eigenrisicodrager, in staat is te verrichten; 
 * op verzoek van een werkgever of een werknemer dan wel een eigenrisicodrager als bedoeld in artikel 1 van de Ziektewet of een persoon als bedoeld in artikel 63 van die wet een onderzoek instellen naar en een oordeel geven over de vraag of de werkgever ten aanzien van zijn zieke werknemer, respectievelijk die eigenrisicodrager ten aanzien van de persoon aan wie hij ziekengeld moet betalen, voldoende en geschikte re-integratie-inspanningen heeft verricht; 
 * het uitvoeren van taken die bij of krachtens enige andere wet dan de hierboven bedoelde wetten, aan het Uitvoeringsinstituut Werknemersverzekeringen zijn opgedragen en het uitvoeren van bij ministeriële regeling aangewezen algemene maatregelen van bestuur en ministeriële regelingen;
 * het in opdracht van Onze Minister of uit eigen beweging verrichten van onderzoek met betrekking tot de wettelijke taken van dit instituut;
 * het aan Onze Minister op zijn verzoek verstrekken van de inlichtingen die nodig zijn voor de beoordeling van de uitvoerbaarheid van beleidsvoornemens en wettelijke voorschriften;
 * op verzoek van een werkgever of een werknemer informatie verstrekken over de sociale verzekeringsaspecten van arbeidsongeschiktheid en re-integratie.",Ja,"8,15",,2002,"UWV kent drie telefoonnummers:
 
 
 
 0900-9294 (voor particulieren)
 
 0900-9295 (voor werkgevers)
 
 088-8982010 (voor zakelijke relaties)",17.056,(2014-12-31),Eigen CAO,Pensioenfonds UWV,17/12/15,TK 30982 nr. 26,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,05/09/16
VenVN / Registratiecommissie Specialismen Verpleegkundigen,RSV,Postbus 8212,3503 RE,Utrecht,,,,030 2919050,registers@venvn.nl,http://vsregister.venvn.nl/Over-het-register/Registratiecommissie-Specialismen-Verpleegkunde,"Wet beroepen in de individuele gezondheidszorg (Wet BIG), art. 14 en 15",[Wet beroepen in de individuele gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20beroepen%20in%20de%20individuele%20gezondheidszorg/article=14),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Indien een organisatie van beoefenaren van een beroep als bedoeld in artikel 3 van de hierboven genoemde Wet beroepen in de individuele gezondheidszorg (Wet BIG), voor de inschrijving van beroepsbeoefenaren die een bijzondere deskundigheid hebben verworven met betrekking tot de uitoefening van een deelgebied van hun beroep, een specialistenregister heeft en daaraan een titel is verbonden, kan de Minister van Volksgezondheid, Welzijn en Sport bepalen dat die titel als wettelijk erkende specialistentitel wordt aangemerkt. Een aanvraag daartoe wordt gedaan door het bestuur van de organisatie; het bestuur kan de bevoegdheid daartoe overdragen aan een orgaan. Deze organen zijn zbo s die onderdeel zijn van dit cluster. 
 
 * In het kort: 
 
 * de inschrijving van specialisten, 
 
 * Het doorhalen van de inschrijving van specialisten, 
 
 * Het schorsen van de inschrijving van specialisten",Ja,"22,23",Artikel 22 van de Kaderwet ZBO is niet van toepassing voor zover het besluiten betreft ter zake van de inschrijving.,2015,"Deze zbo is onderdeel van het cluster Registratiecommissies KNMG, KNMP, KNMT, FGzPt en VenVN. Het betreft hier de registratiecommissie van beroepsorganisatie Verpleegkundigen & Verzorgenden Nederland (VenVN.)",,,,,,,onbekend,Privaatrechtelijk - Stichting,Onderdeel van een cluster,30/11/15
WaarborgHolland B.V.,,Postbus 1075,2800 BB,Gouda,Stationsplein 9a,2801 AK,Gouda,0182 589300,info@waarborg.nl,http://www.waarborg.nl/,"Ingesteld bij wet, Waarborgwet 1986 art. 7,9, 59 en 60 en de statuten art 2.",[Waarborgwet 1986](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Waarborgwet%201986/article=7),,Ministerie van Economische Zaken (EZ),Keuren van voorwerpen op hun gehalte aan edelmetaal.,Ja,22,,2004,Deze organisatie is onderdeel van het cluster Waarborginstellingen.,,,,,,,onbekend,Privaatrechtelijk - Overig,Onderdeel van een cluster,15/08/16
Waarborginstellingen,,,,,,,,,,,"Waarborgwet 1986, artikel 7",[Waarborgwet 1986](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Waarborgwet%201986/article=7),,Ministerie van Economische Zaken (EZ),Keuren van voorwerpen op hun gehalte aan edelmetaal.,Ja,22,,1986,,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,18/07/16
Waarderingskamer,WK,Postbus 93210,2509 AE,Den Haag,Muzenstraat 73,2511 WB,Den Haag,070 3110555,info@waarderingskamer.nl,http://www.waarderingskamer.nl/,Wet waardering onroerende zaken (Wet WOZ),[Wet waardering onroerende zaken](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20WAARDERING%20ONROERENDE%20ZAKEN),,Ministerie van Financiën (FIN),"* De Waarderingskamer houdt toezicht op de waardebepaling en de waardevaststelling van onroerende zaken ten behoeve van de belastingheffing terzake door het Rijk de gemeenten en de Waterschappen, alsmede op de overige in de Wet WOZ geregelde onderwerpen. Het oogmerk hiervan is bevordering van een uniforme en doelmatige uitvoering van de diverse belastingheffingen.
 
 * Desgevraagd of eigener beweging de Minister van Financiën van advies voorzien over zaken die verband houden met de inhoud en de toepassing van hetgeen bij of krachtens de Wet WOZ is bepaald.
 
 * Uitvoering geven aan hetgeen haar overigens bij of krachtens de Wet WOZ is opgedragen, zoals het behandelen van de geschillen tussen gemeenten en andere afnemers van de waardegegevens (rijk en waterschappen) over de uitvoering van de Wet WOZ.
 
 * Het geven van voorlichting aan gemeenten, afnemers en overige WOZ-belanghebbenden.",Ja,9,,1995,,19,(2014-12-31),CAO Provincies,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Zorginstituut Nederland,ZIN,Postbus 320,1110 AH,Diemen,Eekholt 4,1112 XH,Diemen,020 7978555,info@zinl.nl,http://www.zorginstituutnederland.nl/,"Zorgverzekeringswet, artikel 58",[Zorgverzekeringswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Zorgverzekeringswet/article=58),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Beheren van twee centrale fondsen, namelijk de Algemene Kas en het Algemeen Fonds Bijzondere Ziektekosten (AWBZ) en doen van betalingen ten laste van deze fondsen ter gehele of gedeeltelijke dekking van de kosten van de in de Zorgverzekeringswet geregelde verzekering respectievelijk de in de AWBZ geregelde verzekering;
 
 * verlenen van subsidies;
 
 * adviseren met betrekking tot specifiek in de wet genoemde besluiten en de uitvoerbaarheid van voorgenomen beleid op het terrein van Zorgverzekeringswet of AWBZ;
 
 * adviseren over verzekeringsaanspraken en kring der verzekerden;
 
 * toelaten van zorgverzekeraars en zorgaanbieders;
 
 * adviseren in verstrekkingengeschillen;
 
 * vaststellen van modelovereenkomsten en uitkomsten van overleg;
 
 * verstrekken van beleidsregels;
 
 * bewaken van statuten en reglementen van zorgverzekeraars;
 
 * verstrekken van uitvoeringstoetsen en signalementen ten aanzien van de uitvoering van de zorgverzekeringen.",Ja,,,1999,Zorginstituut Nederland heeft per 1 april 2014 de taken van College voor Zorgverzekeringen overgenomen. Het College voor Zorgverzekeringen is opgeheven.,392,(2014-12-31),CAO Rijk,ABP,22/10/14,TK 25268 nr. 99,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Zorgkantoren Wlz,,,,,,,,,,,"Wet langdurige zorg, Hoofdstuk 4",[Wet langdurige zorg](http://wetten.overheid.nl/BWBR0035917/),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","Doelmatige en kwalitatief verantwoorde uitvoering van de Wlz als aangewezen regionale Wlz-uitvoerder,in het bijzonder beheerstaken (administratie en controle). Het zorgkantoor zorgt ervoor dat aan verzekerden die wonen in de regio waarvoor het als zorgkantoor is aangewezen desgevraagd de informatie wordt verschaft over de voorwaarden waaronder zij in aanmerking komen voor een persoonsgebonden budget, en zorgt ervoor dat het budget indien dit is verleend, binnen een redelijke termijn beschikbaar wordt gesteld.",Nee,,,2015,"Dit is een cluster van zbo s waarop de kaderwet zelfstandige bestuursorganen niet van toepassing is. De onderliggende onderdelen van dit cluster worden niet in dit register benoemd.
 
 De minister van VWS wijst per regio een Wlz-uitvoerder aan als zorgkantoor.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,24/09/15
